epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.5506,2.02193,14.4343,1.44395,0.66485,0.49878,0.48284,0.2258,1.81718,2.17314,1.32162,0.000254065,0.000254065,0.000254065
2,105.241,1.90336,2.97381,1.35672,0.70187,0.53545,0.57636,0.27483,1.91882,1.77718,1.35778,0.000459869,0.000459869,0.000459869
3,151.078,1.88164,2.30405,1.37347,0.61626,0.47677,0.4772,0.22,1.87996,2.08213,1.33305,0.000614919,0.000614919,0.000614919
4,201.393,1.85192,2.12611,1.33881,0.76862,0.56968,0.63503,0.32701,1.73216,1.62283,1.2934,0.000540607,0.000540607,0.000540607
5,246.644,1.77131,1.93464,1.32083,0.707,0.48968,0.5449,0.2713,1.77663,1.85548,1.24102,0.000464476,0.000464476,0.000464476
6,294.105,1.67777,1.75745,1.26923,0.75415,0.59658,0.66215,0.33782,1.71843,1.58843,1.2276,0.000388345,0.000388345,0.000388345
7,340.987,1.62548,1.62952,1.23668,0.80866,0.59934,0.69241,0.37228,1.6334,1.65663,1.26749,0.000312214,0.000312214,0.000312214
8,386.497,1.5744,1.48696,1.21191,0.84271,0.66259,0.75849,0.4173,1.58045,1.34931,1.18725,0.000236083,0.000236083,0.000236083
9,434.427,1.48643,1.35668,1.18047,0.90581,0.65838,0.77657,0.42904,1.55811,1.31056,1.19301,0.000159952,0.000159952,0.000159952
10,484.882,1.4604,1.28366,1.16857,0.90507,0.69931,0.78896,0.45347,1.49411,1.25834,1.17311,8.3821e-05,8.3821e-05,8.3821e-05
