epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5241,1.89638,9.89542,1.44671,0.53393,0.48655,0.45352,0.19931,1.87769,2.99299,1.29615,0.000254065,0.000254065,0.000254065
2,32.9384,1.86618,2.70905,1.36115,0.69563,0.52323,0.56907,0.29939,1.74579,2.48992,1.29183,0.000505345,0.000505345,0.000505345
3,49.3006,1.88806,2.40938,1.3541,0.66289,0.53056,0.52983,0.20904,2.01794,2.43316,1.37546,0.00075155,0.00075155,0.00075155
4,64.4156,1.79281,2.23128,1.33865,0.24034,0.52812,0.18142,0.08622,1.85073,3.85018,1.36581,0.000746161,0.000746161,0.000746161
5,79.6105,1.74419,2.07659,1.27487,0.68395,0.56724,0.60366,0.27268,1.85444,1.97761,1.26779,0.000738548,0.000738548,0.000738548
6,94.8997,1.67817,1.93321,1.22944,0.71066,0.47441,0.58574,0.28786,1.67099,1.94498,1.17841,0.000730935,0.000730935,0.000730935
7,110.019,1.61301,1.95903,1.24045,0.78513,0.55501,0.6768,0.30452,1.57618,1.50778,1.12666,0.000723321,0.000723321,0.000723321
8,125.668,1.567,1.83615,1.20758,0.72318,0.60636,0.67661,0.33416,1.61694,1.43998,1.14263,0.000715708,0.000715708,0.000715708
9,141.396,1.52383,1.73968,1.15711,0.72243,0.54728,0.62921,0.35198,1.48908,1.60789,1.10824,0.000708095,0.000708095,0.000708095
10,156.945,1.50225,1.76108,1.15741,0.72453,0.57213,0.64002,0.33084,1.49579,1.50839,1.10539,0.000700482,0.000700482,0.000700482
11,172.092,1.48615,1.69292,1.16689,0.77539,0.58435,0.67592,0.34653,1.56098,1.63492,1.16649,0.000692869,0.000692869,0.000692869
12,187.2,1.47431,1.67819,1.14168,0.76087,0.55012,0.65611,0.31415,1.49597,1.58895,1.07676,0.000685256,0.000685256,0.000685256
13,202.366,1.44148,1.56324,1.13827,0.76101,0.62592,0.72589,0.39805,1.39628,1.40837,1.08007,0.000677643,0.000677643,0.000677643
14,217.992,1.39942,1.4937,1.10223,0.7585,0.63736,0.72914,0.41515,1.37486,1.31867,1.06735,0.00067003,0.00067003,0.00067003
15,233.558,1.35995,1.50125,1.10144,0.71325,0.6577,0.70963,0.39624,1.39037,1.41345,1.09914,0.000662417,0.000662417,0.000662417
16,248.706,1.37468,1.47167,1.10196,0.78989,0.66993,0.75643,0.42541,1.27857,1.30233,1.04047,0.000654804,0.000654804,0.000654804
17,264.2,1.31548,1.3797,1.06104,0.82103,0.69541,0.76373,0.43207,1.33836,1.29284,1.06397,0.00064719,0.00064719,0.00064719
18,279.642,1.2988,1.36832,1.07626,0.75224,0.6681,0.74429,0.41542,1.33445,1.25358,1.05015,0.000639577,0.000639577,0.000639577
19,294.881,1.28726,1.352,1.04666,0.81844,0.67971,0.77429,0.41299,1.39017,1.21287,1.09121,0.000631964,0.000631964,0.000631964
20,310.055,1.31661,1.36278,1.08307,0.76975,0.69477,0.77579,0.43356,1.30671,1.24881,1.02985,0.000624351,0.000624351,0.000624351
21,325.518,1.2346,1.25916,1.03026,0.83503,0.69305,0.78951,0.45072,1.31283,1.21864,1.03515,0.000616738,0.000616738,0.000616738
22,340.982,1.25232,1.27692,1.03398,0.7951,0.69682,0.76167,0.44051,1.2768,1.23415,1.03843,0.000609125,0.000609125,0.000609125
23,356.174,1.22207,1.26776,1.03486,0.77262,0.71448,0.76616,0.42427,1.34164,1.24257,1.05969,0.000601512,0.000601512,0.000601512
24,371.377,1.22712,1.21691,1.04692,0.7862,0.74328,0.79926,0.45592,1.31239,1.19106,1.03895,0.000593899,0.000593899,0.000593899
25,386.866,1.17488,1.16347,1.00435,0.83564,0.74328,0.81883,0.47561,1.26981,1.08525,1.02769,0.000586286,0.000586286,0.000586286
26,402.387,1.175,1.15835,1.01482,0.81592,0.72127,0.79919,0.45631,1.27892,1.17352,1.02121,0.000578672,0.000578672,0.000578672
27,417.688,1.19334,1.22023,1.03302,0.7765,0.73839,0.78341,0.44584,1.26872,1.15365,0.99867,0.000571059,0.000571059,0.000571059
28,432.906,1.18019,1.17896,1.01857,0.82934,0.73594,0.79889,0.46378,1.23398,1.09415,1.01875,0.000563446,0.000563446,0.000563446
29,448.173,1.16012,1.13378,1.00507,0.8627,0.67593,0.79425,0.45459,1.23924,1.13661,1.00603,0.000555833,0.000555833,0.000555833
30,463.389,1.12366,1.09008,1.00475,0.82495,0.74572,0.8161,0.46344,1.24402,1.16544,1.02619,0.00054822,0.00054822,0.00054822
31,478.611,1.16434,1.16942,1.02209,0.84642,0.72861,0.82825,0.47685,1.27352,1.12837,1.02839,0.000540607,0.000540607,0.000540607
32,494.151,1.11743,1.06543,1.00696,0.83432,0.75108,0.82839,0.47315,1.26515,1.06043,1.02222,0.000532994,0.000532994,0.000532994
33,509.316,1.147,1.11261,1.01258,0.8047,0.76564,0.81928,0.48627,1.21104,1.15139,0.99829,0.000525381,0.000525381,0.000525381
34,524.94,1.12937,1.03342,1.00226,0.84492,0.72616,0.8053,0.48227,1.16544,1.04091,0.98805,0.000517768,0.000517768,0.000517768
35,540.201,1.12931,1.0806,0.98216,0.89687,0.69682,0.80855,0.45937,1.23528,1.15574,1.00393,0.000510155,0.000510155,0.000510155
36,555.444,1.10468,1.06107,0.9836,0.85597,0.74109,0.82056,0.48061,1.16134,1.04861,0.98767,0.000502541,0.000502541,0.000502541
37,570.682,1.07158,1.045,0.99994,0.87104,0.73105,0.81583,0.49063,1.21195,1.07344,1.01279,0.000494928,0.000494928,0.000494928
38,586.242,1.0797,1.04188,0.99095,0.8461,0.72616,0.81002,0.48332,1.19217,1.104,0.99984,0.000487315,0.000487315,0.000487315
39,601.461,1.04898,0.96206,0.96268,0.89115,0.73105,0.81855,0.47873,1.18542,1.03906,0.97839,0.000479702,0.000479702,0.000479702
40,616.726,1.09347,1.0285,0.98696,0.85738,0.73839,0.79702,0.46762,1.20863,1.06874,0.99499,0.000472089,0.000472089,0.000472089
41,631.935,1.08796,0.96535,0.98983,0.84133,0.76773,0.81208,0.49226,1.17592,1.11389,0.98617,0.000464476,0.000464476,0.000464476
42,647.435,1.06001,1.01062,0.98549,0.90049,0.74083,0.81852,0.486,1.19647,1.09897,1.00438,0.000456863,0.000456863,0.000456863
43,662.67,1.09678,1.03619,0.98936,0.88144,0.72616,0.80995,0.46124,1.24171,1.21531,1.00311,0.00044925,0.00044925,0.00044925
44,678.022,1.0215,0.94967,0.96839,0.91739,0.72616,0.82448,0.50018,1.15374,1.06376,0.98042,0.000441637,0.000441637,0.000441637
45,693.615,1.04194,0.96929,0.97168,0.84808,0.78729,0.83184,0.49176,1.22328,0.99399,1.01917,0.000434024,0.000434024,0.000434024
46,708.817,1.01878,0.89727,0.95235,0.90239,0.75795,0.83063,0.50554,1.1706,1.07542,0.99256,0.000426411,0.000426411,0.000426411
47,724.373,1.03972,0.91837,0.96188,0.84308,0.77502,0.83132,0.50154,1.14928,1.04426,0.98901,0.000418797,0.000418797,0.000418797
48,739.573,0.98081,0.9267,0.94009,0.87464,0.79218,0.85094,0.504,1.18513,0.99076,0.98639,0.000411184,0.000411184,0.000411184
49,755.109,1.00205,0.91945,0.9658,0.91703,0.75668,0.83833,0.49675,1.20273,0.98832,1.00298,0.000403571,0.000403571,0.000403571
50,770.364,0.98734,0.8847,0.95292,0.86723,0.76655,0.81088,0.49827,1.17154,1.08883,1.00027,0.000395958,0.000395958,0.000395958
51,785.716,0.94572,0.86545,0.94463,0.88323,0.77675,0.84165,0.50771,1.16605,0.98683,0.98421,0.000388345,0.000388345,0.000388345
52,801.191,0.9917,0.87156,0.95646,0.88063,0.79362,0.83308,0.51817,1.12408,0.91984,0.98062,0.000380732,0.000380732,0.000380732
53,816.781,0.9523,0.8205,0.94265,0.90995,0.75795,0.82869,0.50724,1.16247,0.98608,0.98317,0.000373119,0.000373119,0.000373119
54,832.01,0.96064,0.8595,0.93751,0.87598,0.76528,0.82976,0.503,1.14479,1.03181,0.97187,0.000365506,0.000365506,0.000365506
55,847.253,0.96306,0.84636,0.93857,0.9145,0.75838,0.82689,0.51606,1.17614,1.04753,1.00064,0.000357893,0.000357893,0.000357893
56,862.448,0.92309,0.79353,0.93314,0.91829,0.76938,0.84081,0.52177,1.13575,1.05974,0.97243,0.00035028,0.00035028,0.00035028
57,877.972,0.93545,0.79842,0.92727,0.89195,0.76698,0.83942,0.51528,1.12979,1.03775,0.96981,0.000342666,0.000342666,0.000342666
